"period","legislator","party","name","coord1D","coord2D","se1D","se2D","var1D","var2D","loglikelihood","numVotes","numErrors","GMP","partido","nombres","region","distrito"
1,872,"FRVS",872,-0.362020701169968,-0.103770807385445,0,0,0,0,-52.5231285095215,126,24,0.659119606018066,"FRVS","Jaime Mulet Martínez","Región de Atacama",4
1,875,"UDI",875,0.41458123922348,-0.306012958288193,0,0,0,0,-15.4148464202881,126,3,0.884847402572632,"UDI","Iván Norambuena Farías","Región del Bío Bío",21
1,879,"DC",879,0.0482578501105309,-0.4036665558815,0,0,0,0,-33.5045509338379,234,20,0.866596460342407,"DC","José Miguel Ortiz Novoa","Región del Bío Bío",20
1,885,"PRad",885,-0.0687385872006416,-0.847778856754303,0,0,0,0,-35.9550285339355,195,14,0.831615746021271,"PRad","José Pérez Arriagada","Región del Bío Bío",21
1,893,"DC",893,0.117493286728859,0.331778854131699,0,0,0,0,-47.4881324768066,215,19,0.801816880702972,"DC","Jorge Sabag Villalobos","Región del Bío Bío",19
1,897,"FRVS",897,-0.629156410694122,-0.10642047226429,0,0,0,0,-47.7660636901855,230,21,0.81246817111969,"FRVS","Alejandra Sepúlveda Orbenes","Región del Libertador General Bernardo O' Higgins",16
1,898,"DC",898,-0.137140765786171,0.00589550286531448,0,0,0,0,-39.5649681091309,218,20,0.834026038646698,"DC","Gabriel Silber Romo","Región Metropolitana de Santiago",8
1,908,"UDI",908,0.798755288124084,-0.116395376622677,0,0,0,0,-3.8132016658783,159,1,0.976302921772003,"UDI","Ignacio Urrutia Bonilla","Región del Maule",18
1,913,"DC",913,-0.180222496390343,-0.624330699443817,0,0,0,0,-34.5797996520996,135,16,0.774028420448303,"DC","Mario Venegas Cárdenas","Región de La Araucanía",22
1,917,"UDI",917,0.599053263664246,-0.144725531339645,0,0,0,0,-4.57331037521362,231,2,0.980396807193756,"UDI","Gastón Von Mühlenbrock Zamora","Región de Los Ríos",24
1,920,"PS",920,-0.435445010662079,-0.626457631587982,0,0,0,0,-39.674877166748,132,16,0.740398108959198,"PS","Marcelo Schilling Rodríguez","Región de Valparaíso",6
1,923,"UDI",923,0.502010881900787,-0.181990802288055,0,0,0,0,-6.60443830490112,151,1,0.957204699516296,"UDI","Pedro Pablo Álvarez-Salamanca Ramírez","Región del Maule",17
1,925,"IND",925,-0.145986273884773,-0.874049246311188,0,0,0,0,-68.2317581176758,229,36,0.742334544658661,"IND","Pepe Auth Stewart","Región Metropolitana de Santiago",8
