"period","legislator","party","name","coord1D","coord2D","se1D","se2D","var1D","var2D","loglikelihood","numVotes","numErrors","GMP","partido","nombres","region","distrito"
1,898,"DC","898",-0.0606017857789993,-0.200642451643944,0,0,0,0,-7.56193399429321,25,5,0.738985240459442,"DC","Gabriel Silber Romo","Región Metropolitana de Santiago",8
1,908,"UDI","908",-0.782521545886993,-0.294956922531128,0,0,0,0,-1.13555467128754,33,0,0.9661745429039,"UDI","Ignacio Urrutia Bonilla","Región del Maule",18
1,913,"DC","913",0.169622421264648,-0.773235440254211,0,0,0,0,-9.7309455871582,26,3,0.687793135643005,"DC","Mario Venegas Cárdenas","Región de La Araucanía",22
1,917,"UDI","917",-0.594231903553009,0.164027005434036,0,0,0,0,-1.43410360813141,33,0,0.957473039627075,"UDI","Gastón Von Mühlenbrock Zamora","Región de Los Ríos",24
1,920,"PS","920",0.344416916370392,0.771245419979095,0,0,0,0,-5.49456834793091,27,2,0.815868139266968,"PS","Marcelo Schilling Rodríguez","Región de Valparaíso",6
1,923,"UDI","923",-0.529419302940369,0.0822132900357246,0,0,0,0,-1.62522256374359,33,0,0.951943933963776,"UDI","Pedro Pablo Álvarez-Salamanca Ramírez","Región del Maule",17
1,925,"IND","925",0.180461123585701,-0.964201331138611,0,0,0,0,-9.73410415649414,29,4,0.714866995811462,"IND","Pepe Auth Stewart","Región Metropolitana de Santiago",8
1,926,"UDI","926",-0.670536637306213,0.338344603776932,0,0,0,0,-1.34482145309448,33,0,0.9600670337677,"UDI","Nino Baltolu Rasera","Región de Arica y Parinacota",1
1,931,"PS","931",0.486891031265259,0.828108727931976,0,0,0,0,-1.2719361782074,22,0,0.943824291229248,"PS","Juan Luis Castro González","Región del Libertador General Bernardo O' Higgins",15
1,936,"PPD","936",0.685867846012115,0.332522183656693,0,0,0,0,-7.67954921722412,19,2,0.667519390583038,"PPD","Cristina Girardi Lavín","Región Metropolitana de Santiago",9
1,940,"UDI","940",-0.755661904811859,0.238940298557281,0,0,0,0,-1.5088437795639,32,1,0.953943014144897,"UDI","María José Hoffmann Opazo","Región de Valparaíso",7
1,942,"UDI","942",-0.713507771492004,0.158614292740822,0,0,0,0,-1.24717354774475,33,0,0.962912082672119,"UDI","Javier Macaya Danús","Región del Libertador General Bernardo O' Higgins",15
