"","correctYea","wrongYea","wrongNay","correctNay","GMP","PRE","spread1D","spread2D","midpoint1D","midpoint2D"
"772",11,3,3,77,0.800299167633057,0.571428571428571,0.330000042915344,-0.563804805278778,-0.867690563201904,0.0655460432171822
"773",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774",52,1,1,39,0.963289320468903,0.95,1.1450217962265,-0.203715935349464,0.145021796226501,-0.144091755151749
"775",124,0,5,5,0.956991970539093,0,1.33141791820526,1.3993057012558,0.834423124790192,0.296385526657104
"776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780",139,4,0,0,0.92021656036377,0,1,0,1,0
"781",138,4,0,0,0.912066638469696,0,1,0,1,0
"782",53,9,2,76,0.832603096961975,0.8,0.4339939057827,-0.471747189760208,-0.418463736772537,-0.0471051596105099
"783",77,0,1,65,0.962067544460297,0.984615384615385,-1.07401502132416,0.468370646238327,-0.344723552465439,-0.143337532877922
"784",76,1,0,66,0.956902742385864,0.985074626865672,-0.73574298620224,0.557823061943054,-0.185765221714973,-0.191420659422874
"785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786",62,1,1,78,0.941829860210419,0.968253968253968,-1.32944095134735,-0.185802936553955,0.329440981149673,-0.411953806877136
"787",9,1,2,130,0.901227295398712,0.727272727272727,-0.519999980926514,0.611101508140564,0.915450036525726,-0.178970783948898
"788",75,1,0,66,0.952357888221741,0.985074626865672,-0.736381947994232,0.50376033782959,-0.185376539826393,-0.205563843250275
"789",66,0,0,77,0.996304094791412,1,1.53846204280853,-0.675486743450165,-0.285527586936951,-0.857603132724762
"790",66,0,0,77,0.996304094791412,1,1.53846204280853,-0.675486743450165,-0.285527586936951,-0.857603132724762
"791",77,0,1,65,0.978712797164917,0.984615384615385,-1.56541919708252,0.988513886928558,-0.490560084581375,-0.493284702301025
"792",77,0,1,65,0.978712797164917,0.984615384615385,-1.56541919708252,0.988513886928558,-0.490560084581375,-0.493284702301025
"793",68,4,1,67,0.910521924495697,0.927536231884058,-0.577219426631927,0.29749870300293,0.0246288683265448,-0.188641682267189
"794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796",92,5,5,37,0.820403277873993,0.761904761904762,1.30183565616608,0.0037455705460161,0.646112024784088,0.763242661952972
"797",65,1,0,77,0.975693762302399,0.984615384615385,1.56584501266479,-1.00953149795532,-0.472217470407486,-0.453723222017288
"798",66,0,0,77,0.996304094791412,1,1.53846204280853,-0.675486743450165,-0.285527586936951,-0.857603132724762
"799",66,0,0,77,0.996304094791412,1,1.53846204280853,-0.675486743450165,-0.285527586936951,-0.857603132724762
"800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"801",127,15,0,0,0.726458549499512,0,0.300000011920929,0,1,0
"802",66,0,2,75,0.928385734558105,0.970588235294118,0.644518375396729,-0.308601319789886,-0.129475191235542,-0.2049800157547
"803",66,0,1,75,0.98722380399704,0.985074626865672,1.11414957046509,-0.70602959394455,-0.114149533212185,-0.0746245086193085
"804",95,6,5,32,0.851676821708679,0.710526315789474,0.804629027843475,0.635930895805359,0.643144726753235,-0.100908808410168
"805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807",71,3,0,65,0.882170557975769,0.955882352941177,-0.508602738380432,0.15769200026989,-0.0834678485989571,-0.188374400138855
"808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811",77,0,1,61,0.959991157054901,0.983606557377049,-1.04437375068665,0.371401131153107,-0.343257337808609,-0.0642305612564087
"812",116,1,2,18,0.946031212806702,0.842105263157895,1.72383499145508,0.970077157020569,0.843146324157715,0.100858688354492
"813",117,1,1,21,0.945266664028168,0.909090909090909,1.7616423368454,1.18920540809631,0.83746725320816,0.0293775852769613
"814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815",112,2,3,4,0.931832909584045,0.166666666666667,-0.75,-1.00507485866547,-0.885419547557831,-0.129897251725197
"816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817",90,4,3,23,0.868863046169281,0.740740740740741,1.67054057121277,-0.177840083837509,0.670540630817413,0.184522017836571
"818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819",69,1,1,74,0.963732123374939,0.971428571428571,-1.08858299255371,-0.0996047332882881,0.0885829851031303,-0.246280014514923
"820",77,1,1,70,0.957554936408997,0.971830985915493,1.10424184799194,0.140238553285599,0.104241907596588,-0.336259633302689
"821",77,1,1,70,0.957554936408997,0.971830985915493,1.10424184799194,0.140238553285599,0.104241907596588,-0.336259633302689
"822",69,1,1,75,0.959872484207153,0.971428571428571,-1.10605108737946,-0.168761387467384,0.106051132082939,-0.267457455396652
"823",77,1,1,70,0.957554936408997,0.971830985915493,1.10424184799194,0.140238553285599,0.104241907596588,-0.336259633302689
"824",127,4,0,3,0.919904947280884,0.428571428571429,1.75708782672882,-0.601365864276886,0.92010110616684,0.124275557696819
"825",117,0,10,6,0.928246140480042,-0.666666666666667,1.12797665596008,-0.534356236457825,0.783286869525909,0.142641142010689
"826",115,4,0,8,0.908043622970581,0.666666666666667,1.75556015968323,-0.326744616031647,0.80187314748764,0.000276912789558992
"827",105,2,3,29,0.884339988231659,0.838709677419355,1.72391295433044,-0.0231100078672171,0.725944340229034,-0.0772392004728317
"828",116,1,0,5,0.95843642950058,0.833333333333333,1.80182063579559,-0.184533149003983,0.889773488044739,0.067748174071312
"829",83,0,0,53,0.989475429058075,1,1.46732306480408,0.43911200761795,0.467323124408722,-0.55211466550827
"830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
